timestamp,direction,entry_price,exit_price,realized_r,max_favorable_excursion_r,max_adverse_excursion_r,trend_strength_at_entry,atr_strength_at_entry,pullback_depth_at_entry,pre_entry_extension_at_entry,london_subwindow,outcome_type
2025-12-30T09:50:00+00:00,sell,4374.44,4369.9800,0.4978,1.2154,0.1038,0.002239952131848359684838526588,0.001264319318433426231874497489,1.1122,0.2258,london_09_11,partial lock
2025-12-30T10:05:00+00:00,buy,4371.72,4371.70,-0.0024,0.2521,0.6230,0.002152855239551576388383615323,0.001324754345318427940748777037,1.3982,0.0090,london_09_11,BE
2025-12-30T10:30:00+00:00,buy,4358.12,4358.10,-0.0025,0.2882,0.4968,0.002152855239551576388383615323,0.001442470014783637692703570035,1.6575,-0.6776,london_09_11,BE
2025-12-30T10:45:00+00:00,buy,4359.51,4367.489642857142857142857142,1.2399,1.7962,0.1196,0.002152855239551576388383615323,0.001471666246674332482534818129,0.5299,-0.0280,london_09_11,TP
2025-12-30T11:20:00+00:00,sell,4370.30,4370.32,-0.0032,0.4911,0.2979,0.0003730375810774189686889485296,0.001232338658431026953240429599,1.0800,0.0694,london_11_13,BE
2025-12-30T11:40:00+00:00,sell,4368.28,4372.545,-1.0047,0.1767,1.0389,0.0003730375810774189686889485296,0.0009671954765011560561316759380,0.5482,0.2565,london_11_13,full loss
2025-12-30T12:05:00+00:00,buy,4372.54,4374.9100,0.4958,1.3326,0.3243,0.0006760470339539496778657710922,0.0008875235072027768230415673996,0.2721,0.5808,london_11_13,partial lock
2025-12-30T12:15:00+00:00,buy,4378.27,4387.3050,1.2411,1.8489,0.2376,0.0006760470339539496778657710922,0.0008968031910988571754859655276,0.4172,1.4318,london_11_13,TP
2025-12-30T12:30:00+00:00,buy,4387.63,4387.61,-0.0019,0.3872,0.4908,0.0006760470339539496778657710922,0.0009784044486308361174176504163,0.1188,2.2829,london_11_13,BE
2025-12-30T12:50:00+00:00,buy,4383.25,4385.5100,0.4956,1.3750,0.3180,0.0006760470339539496778657710922,0.001023706914111935066801683429,0.7870,0.2247,london_11_13,partial lock
2025-12-31T07:00:00+00:00,sell,4330.79,4341.21,-1.0019,0.1269,1.1827,0.002915356894476088038407777755,0.001018285263033935914990498313,0.3160,2.0377,london_07_09,full loss
2025-12-31T07:30:00+00:00,sell,4333.36,4321.2625,1.2433,1.4923,0.4039,0.002915356894476088038407777755,0.001132570220672348803276624054,1.0304,0.9481,london_07_09,TP
2025-12-31T07:40:00+00:00,sell,4324.85,4309.3650,1.2448,1.3264,0.2404,0.002915356894476088038407777755,0.001380388312249847972308994259,0.3901,1.6903,london_07_09,TP
2025-12-31T07:45:00+00:00,sell,4310.75,4284.3525,1.2469,1.2962,0.0373,0.002915356894476088038407777755,0.001666424195345942504802754828,0.0449,2.8993,london_07_09,TP
2025-12-31T07:50:00+00:00,sell,4287.10,4287.12,-0.0005,0.3095,0.1649,0.002915356894476088038407777755,0.002081483939934368193899067773,0.3569,4.2063,london_07_09,BE
2025-12-31T08:20:00+00:00,sell,4300.11,4311.901428571428571428571429,-1.0017,0.2430,1.4229,0.008801066557865654939858830364,0.002732807745679449558169503845,0.5244,-0.0581,london_07_09,full loss
2025-12-31T09:15:00+00:00,buy,4333.94,4323.81,-1.0020,0.1068,1.2186,0.006714323647127547438442000587,0.001790197195280814729258632238,0.3447,0.9558,london_09_11,full loss
2025-12-31T10:10:00+00:00,buy,4322.97,4325.338928571428571428571428,0.4958,0.9460,0.1800,0.003559195770917567349489041583,0.001100604250073940910059764083,1.1673,-0.8877,london_09_11,partial lock
2025-12-31T10:20:00+00:00,buy,4326.90,4322.09,-1.0042,0.0752,1.2463,0.003559195770917567349489041583,0.001044962784137431920592072942,0.8516,0.2034,london_09_11,full loss
2025-12-31T11:15:00+00:00,sell,4313.95,4319.326428571428571428571429,-1.0037,-0.0187,1.4431,0.0007063073508199658791893129346,0.001237011052795585372307046310,0.4951,0.2638,london_11_13,full loss
2025-12-31T11:45:00+00:00,sell,4331.78,4328.626428571428571428571428,0.4968,1.0083,0.5436,0.0007063073508199658791893129346,0.001460626727259535791785664818,1.4382,-0.5800,london_11_13,partial lock
2025-12-31T11:55:00+00:00,sell,4325.86,4314.2125,1.2431,2.0694,0.5955,0.0007063073508199658791893129346,0.001490365626680087552788598587,0.9292,0.5210,london_11_13,TP
2026-01-02T07:05:00+00:00,buy,4377.58,4377.56,-0.0031,0.4031,0.1767,0.005320556444144215614685428357,0.0006856396192007811266028172249,0.5952,1.5471,london_07_09,BE
2026-01-02T07:25:00+00:00,buy,4378.47,4378.45,-0.0063,0.4281,0.1469,0.005320556444144215614685428357,0.0006885998469778117827084927314,0.4976,0.5572,london_07_09,BE
2026-01-02T07:45:00+00:00,buy,4379.61,4380.909285714285714285714286,0.4924,0.8073,0.3638,0.005320556444144215614685428357,0.0005979033262409103526651059640,0.2839,0.3882,london_07_09,partial lock
2026-01-02T08:10:00+00:00,buy,4375.15,4376.607142857142857142857143,0.4932,1.4487,0.5314,0.004693038602229345568380525665,0.0006706739489536800702411781396,1.2899,-0.8946,london_07_09,partial lock
2026-01-02T08:20:00+00:00,buy,4378.03,4378.01,-0.0045,0.4607,0.2157,0.004693038602229345568380525665,0.0006410283602432546815953889029,1.2566,0.3219,london_07_09,BE
2026-01-02T08:45:00+00:00,buy,4375.83,4373.96,-0.6399,0.1574,0.8624,0.004693038602229345568380525665,0.0006632241475619044571992711880,0.7378,-0.2795,london_07_09,full loss
