parameters,entry_hour_utc,trades,profit_factor,net_pnl,max_drawdown,average_monthly_pnl,worst_monthly_pnl,positive_months,total_months
impulse_continuation:bars=6:atr=0.35:rr=3.0,8,99,1.63112176526995,350.2986481150126,142.9073971279522,6.609408455000238,-51.46028377081484,25,53
impulse_continuation:bars=3:atr=0.35:rr=3.0,12,10,1.762127596748842,52.80113687429207,36.45575197921039,6.600142109286509,-13.297993479184697,3,8
impulse_continuation:bars=3:atr=0.35:rr=3.0,5,626,1.1197821487485466,481.8034768255527,318.4602630372706,6.600047627747298,-291.204307734125,36,73
impulse_continuation:bars=3:atr=0.35:rr=2.5,10,11,2.680570779116367,65.75764090214193,30.52126516563976,6.575764090214193,-22.039243252270808,6,10
impulse_continuation:bars=3:atr=0.75:rr=3.0,18,10,3.6562293117442044,58.15644076158992,9.437895949211224,6.461826751287769,-6.333464038632883,6,9
impulse_continuation:bars=12:atr=0.75:rr=2.5,6,531,1.1294764585180066,462.1005718201993,250.95818707630133,6.330144819454786,-181.95188946229428,40,73
impulse_continuation:bars=12:atr=0.75:rr=2.0,6,531,1.1349048717689298,461.7824127868191,250.95818707630133,6.325786476531769,-195.88014898509573,35,73
impulse_continuation:bars=6:atr=0.5:rr=2.5,6,489,1.1514043476484699,428.09208104110917,314.82446304821406,5.86427508275492,-163.65097652547365,41,73
impulse_continuation:bars=6:atr=0.75:rr=3.0,6,293,1.268528860726178,414.1168872554317,182.04321127098183,5.751623434103219,-73.81332610613936,33,72
impulse_continuation:bars=3:atr=0.75:rr=2.5,18,10,3.324532010295918,50.894140636684824,9.437895949211224,5.654904515187202,-6.333464038632883,6,9
impulse_continuation:bars=3:atr=0.35:rr=2.0,10,11,2.409692714803438,55.15868089242281,30.52126516563976,5.5158680892422804,-22.039243252270808,6,10
impulse_continuation:bars=3:atr=0.35:rr=2.0,11,12,1.9865003429342543,60.43564024086277,32.93905143764459,5.494149112805706,-32.93905143764459,7,11
impulse_continuation:bars=3:atr=0.35:rr=2.0,12,10,1.630801339269825,43.70269230160034,36.45575197921039,5.462836537700042,-13.297993479184697,3,8
impulse_continuation:bars=6:atr=0.5:rr=2.0,12,32,1.858865081480205,118.7781048890381,36.729098993198704,5.39900476768355,-30.751917797698752,11,22
impulse_continuation:bars=6:atr=0.75:rr=3.0,18,5,3.7024114083830355,26.656463159976283,6.163954495339567,5.3312926319952565,-6.163954495339567,3,5
impulse_continuation:bars=6:atr=0.35:rr=2.5,8,99,1.5011147702400427,278.1393959539146,157.65100046298107,5.2479131312059355,-51.46028377081484,23,53
impulse_continuation:bars=3:atr=0.35:rr=2.5,9,36,1.6994216097233061,146.22923342753302,94.52884054511651,4.874307780917767,-26.51000000000022,16,30
impulse_continuation:bars=3:atr=0.75:rr=2.0,18,10,2.9930402412313866,43.636340511778826,9.437895949211224,4.848482279086536,-6.333464038632883,6,9
impulse_continuation:bars=3:atr=0.5:rr=2.5,14,18,1.447697472480619,76.3173449239764,89.82392858537332,4.769834057748525,-89.82392858537332,7,16
